ticket_id,category_id,agent_id,priority,status,created_at,first_response_at,resolved_at,root_cause,resolution_type,escalation_flag,customer_impact,description
TCK-0000001,3,23,P3,Resolved,2026-06-15 13:48:43+00:00,2026-06-15 14:27:47.524082709+00:00,2026-06-15 19:21:45.810055125+00:00,Monitoring Noise,Vendor Fix,False,Low,P3 Platform/Compute: node saturation alerts; suspected Monitoring Noise.
TCK-0000013,7,12,P4,Resolved,2026-05-11 09:24:15+00:00,2026-05-11 10:43:42.572616719+00:00,2026-05-11 14:22:19.945368414+00:00,Code Regression,Restart,False,Medium,P4 Application/API: elevated 5xx rate; suspected Code Regression.
TCK-0000014,11,34,P3,Resolved,2026-05-25 21:55:10+00:00,2026-05-25 22:36:46.594669945+00:00,2026-05-26 06:23:40.276824947+00:00,Code Regression,Code Fix,True,None,P3 Billing/Payments: processor decline spike; suspected Code Regression.
TCK-0000015,4,15,P3,Resolved,2026-04-11 12:20:50+00:00,2026-04-11 16:08:40.933666189+00:00,2026-04-11 18:30:05.488785039+00:00,Code Regression,Config Change,False,None,P3 Platform/Database: slow queries; suspected Code Regression.
TCK-0000016,8,7,P3,Resolved,2026-02-17 21:24:18+00:00,2026-02-18 00:24:48.938199494+00:00,2026-02-18 00:16:18.534830749+00:00,Authentication,Knowledge Base,False,High,P3 Security/SSO: SAML assertion rejected; suspected Authentication.
TCK-0000017,12,20,P4,Closed,2026-06-24 23:52:17+00:00,2026-06-25 00:29:41.164699319+00:00,2026-06-25 10:22:07.385859617+00:00,,Monitoring Update,False,None,P4 Integrations/Webhook: subscriber endpoint timeout; suspected unknown root cause pending RCA.
TCK-0000018,1,9,P3,Closed,2026-05-30 12:07:52+00:00,2026-05-30 12:39:57.107257855+00:00,2026-05-30 22:52:00.782289933+00:00,Capacity,Config Change,False,Medium,P3 Network/VPN: slow split-tunnel routing; suspected Capacity.
TCK-0000019,6,34,P3,Closed,2026-05-21 19:23:37+00:00,2026-05-21 19:44:24.453055681+00:00,2026-05-22 01:19:05.642938102+00:00,Data Sync,Restart,False,High,P3 Application/Checkout: order confirmation delay; suspected Data Sync.
TCK-0000020,1,22,P3,Resolved,2026-06-17 16:25:07+00:00,2026-06-17 19:26:52.851508103+00:00,2026-06-17 18:44:35.558484044+00:00,Authentication,Code Fix,False,Low,P3 Network/VPN: slow split-tunnel routing; suspected Authentication.
TCK-0000021,12,13,P4,Resolved,2026-06-15 15:20:06+00:00,2026-06-15 16:49:51.642482695+00:00,2026-06-15 23:55:34.329808206+00:00,Code Regression,Vendor Fix,False,Low,P4 Integrations/Webhook: delivery retry storm; suspected Code Regression.
TCK-0000022,8,35,P3,Resolved,2026-04-19 04:39:21+00:00,2026-04-19 08:06:50.082673363+00:00,2026-04-19 08:38:45.494444771+00:00,Authentication,Code Fix,False,Low,P3 Security/SSO: SAML assertion rejected; suspected Authentication.
TCK-0000023,2,36,P4,Resolved,2026-04-23 07:31:49+00:00,2026-04-23 07:42:39.908063784+00:00,2026-04-23 13:09:22.375284766+00:00,,Vendor Fix,True,None,P4 Network/DNS: service discovery timeout; suspected unknown root cause pending RCA.
TCK-0000024,8,22,P2,Closed,2026-07-24 14:13:17+00:00,2026-07-24 14:45:15.576928546+00:00,2026-07-24 23:37:53.524364895+00:00,Authentication,Restart,False,Low,P2 Security/SSO: certificate trust warning; suspected Authentication.
TCK-0000025,13,18,P3,Resolved,2026-03-28 09:18:14+00:00,2026-03-28 10:08:38.856163678+00:00,2026-03-28 17:20:40.036574795+00:00,Network Latency,Code Fix,False,Medium,P3 Integrations/CRM Sync: stale customer record; suspected Network Latency.
TCK-0000026,4,31,P4,Resolved,2026-02-24 16:30:52+00:00,2026-02-24 17:16:30.785371373+00:00,2026-02-26 07:38:44.461671271+00:00,Code Regression,Knowledge Base,True,Low,P4 Platform/Database: slow queries; suspected Code Regression.
TCK-0000027,7,15,P3,Resolved,2026-05-06 08:19:34+00:00,2026-05-06 09:31:29.177742231+00:00,2026-05-06 11:28:58.132581606+00:00,Customer Error,User Education,False,Low,P3 Application/API: token validation failures; suspected Customer Error.
TCK-0000028,12,24,P3,Resolved,2026-07-16 10:00:44+00:00,2026-07-16 12:22:49.431476844+00:00,2026-07-16 18:33:22.526172500+00:00,Customer Error,User Education,False,None,P3 Integrations/Webhook: delivery retry storm; suspected Customer Error.
TCK-0000029,8,13,P4,Closed,2026-03-30 16:19:28+00:00,2026-03-30 17:03:01.313719686+00:00,2026-03-30 19:29:20.388009039+00:00,Certificate Expiry,Monitoring Update,False,High,P4 Security/SSO: identity provider timeout; suspected Certificate Expiry.
TCK-0000030,3,9,P4,Resolved,2026-06-05 08:07:17+00:00,2026-06-05 09:45:15.041421001+00:00,2026-06-05 11:48:21.561720838+00:00,Configuration,Config Change,False,None,P4 Platform/Compute: node saturation alerts; suspected Configuration.
TCK-0000031,6,36,P2,Closed,2026-02-12 11:26:45+00:00,2026-02-12 11:48:06.826846505+00:00,2026-02-12 19:47:54.750946399+00:00,Code Regression,Monitoring Update,False,Medium,P2 Application/Checkout: order confirmation delay; suspected Code Regression.
TCK-0000032,11,3,P3,Resolved,2026-04-30 10:20:52+00:00,2026-04-30 11:23:13.756334252+00:00,2026-04-30 18:52:25.209407762+00:00,Vendor Outage,User Education,False,Medium,P3 Billing/Payments: processor decline spike; suspected Vendor Outage.
TCK-0000033,1,6,P3,Closed,2026-04-30 18:24:35+00:00,2026-04-30 18:59:55.233144952+00:00,2026-04-30 20:55:33.605902253+00:00,Capacity,Config Change,False,Low,P3 Network/VPN: slow split-tunnel routing; suspected Capacity.
TCK-0000034,8,22,P4,Resolved,2026-04-05 17:14:04+00:00,2026-04-05 20:46:44.997185968+00:00,2026-04-05 22:43:46.137233520+00:00,Capacity,Restart,False,Low,P4 Security/SSO: certificate trust warning; suspected Capacity.
TCK-0000035,6,9,P3,Resolved,2026-07-06 18:01:21+00:00,2026-07-06 18:36:48.658748619+00:00,2026-07-06 23:59:44.080775426+00:00,Configuration,Code Fix,False,Medium,P3 Application/Checkout: payment handoff error; suspected Configuration.
TCK-0000036,9,34,P3,Closed,2026-07-06 15:41:55+00:00,2026-07-06 17:12:49.514651435+00:00,2026-07-07 07:22:50.852064908+00:00,Customer Error,User Education,True,Medium,P3 Security/Access Review: access request blocked; suspected Customer Error.
TCK-0000037,10,31,P4,Closed,2026-07-04 16:13:41+00:00,2026-07-04 17:12:35.966875403+00:00,2026-07-05 04:14:22.229545211+00:00,Data Sync,Restart,True,Low,P4 Billing/Invoice: missing billing contact; suspected Data Sync.
TCK-0000038,8,12,P2,Resolved,2026-04-20 19:24:21+00:00,2026-04-20 20:00:04.091846604+00:00,2026-04-20 22:29:13.478599197+00:00,Authentication,Config Change,True,Low,P2 Security/SSO: certificate trust warning; suspected Authentication.
TCK-0000039,14,31,P1,Resolved,2026-04-16 18:58:44+00:00,2026-04-16 19:23:54.699381767+00:00,2026-04-16 22:37:45.283985350+00:00,Capacity,Code Fix,False,High,P1 Observability/Alerts: noisy monitor; suspected Capacity.
TCK-0000040,9,13,P3,Resolved,2026-02-28 19:34:44+00:00,2026-02-28 19:51:49.142608532+00:00,2026-03-01 00:22:39.068481726+00:00,Documentation Gap,User Education,False,None,P3 Security/Access Review: access request blocked; suspected Documentation Gap.
TCK-0000041,4,21,P2,Resolved,2026-07-11 07:07:31+00:00,2026-07-11 08:25:49.399304475+00:00,2026-07-12 00:59:09.694204739+00:00,Data Sync,Restart,True,Medium,P2 Platform/Database: replication lag; suspected Data Sync.
TCK-0000042,8,12,P4,Closed,2026-07-10 07:57:54+00:00,2026-07-10 08:19:13.420225903+00:00,2026-07-10 12:58:54.374220602+00:00,,Knowledge Base,False,Medium,P4 Security/SSO: identity provider timeout; suspected unknown root cause pending RCA.
TCK-0000043,10,9,P4,Resolved,2026-02-26 08:17:32+00:00,2026-02-26 09:11:39.855786762+00:00,2026-02-26 14:19:39.229072780+00:00,Configuration,Config Change,False,None,P4 Billing/Invoice: invoice mismatch; suspected Configuration.
TCK-0000044,5,30,P1,Closed,2026-04-27 10:00:10+00:00,2026-04-27 10:01:58+00:00,2026-04-27 12:12:54.433783567+00:00,Code Regression,Knowledge Base,False,Critical,P1 Application/Login: session timeout reports; suspected Code Regression.
TCK-0000045,6,6,P1,Resolved,2026-03-30 13:09:08+00:00,2026-03-30 13:32:32.491130292+00:00,2026-03-30 15:48:41.857333388+00:00,Code Regression,User Education,False,Critical,P1 Application/Checkout: payment handoff error; suspected Code Regression.
TCK-0000046,8,15,P2,Closed,2026-03-28 09:28:05+00:00,2026-03-28 10:09:55.216247698+00:00,2026-03-28 13:23:52.354602340+00:00,Permissions,Knowledge Base,False,Medium,P2 Security/SSO: SAML assertion rejected; suspected Permissions.
TCK-0000047,1,34,P4,Closed,2026-07-14 09:32:45+00:00,2026-07-14 11:31:48.568712516+00:00,2026-07-14 11:14:33.118710311+00:00,Capacity,User Education,False,Low,P4 Network/VPN: slow split-tunnel routing; suspected Capacity.
TCK-0000048,2,34,P2,Resolved,2026-04-30 16:01:20+00:00,2026-04-30 16:30:17.275346196+00:00,2026-04-30 19:54:16.028126640+00:00,Network Latency,Vendor Fix,False,Low,P2 Network/DNS: incorrect record propagation; suspected Network Latency.
TCK-0000049,11,22,P2,Resolved,2026-02-28 17:17:06+00:00,2026-02-28 18:18:27.948876126+00:00,2026-03-01 16:37:35.357715697+00:00,Vendor Outage,Code Fix,True,Medium,P2 Billing/Payments: settlement delay; suspected Vendor Outage.
TCK-0000050,1,22,P3,Resolved,2026-07-15 07:03:53+00:00,2026-07-15 08:10:01.149393390+00:00,2026-07-15 11:02:17.619944580+00:00,Capacity,Monitoring Update,False,None,P3 Network/VPN: slow split-tunnel routing; suspected Capacity.
TCK-0000051,5,25,P2,Closed,2026-03-29 16:10:47+00:00,2026-03-29 16:38:48.888723711+00:00,2026-03-30 01:04:10.021398528+00:00,Authentication,Config Change,False,Medium,P2 Application/Login: session timeout reports; suspected Authentication.
TCK-0000052,4,34,P3,Closed,2026-07-30 14:09:48+00:00,2026-07-30 15:16:32.198012465+00:00,2026-07-31 00:41:08.410570878+00:00,Data Sync,Config Change,False,Medium,P3 Platform/Database: connection pool exhaustion; suspected Data Sync.
TCK-0000053,8,20,P4,Resolved,2026-04-14 01:17:05+00:00,2026-04-14 02:53:30.078716769+00:00,2026-04-14 10:11:25.209482682+00:00,Authentication,Vendor Fix,False,None,P4 Security/SSO: identity provider timeout; suspected Authentication.
TCK-0000054,9,7,P4,Resolved,2026-07-16 15:33:28+00:00,2026-07-16 18:56:18.555831682+00:00,2026-07-16 20:43:04.294671215+00:00,Permissions,Config Change,False,None,P4 Security/Access Review: access request blocked; suspected Permissions.
TCK-0000055,6,26,P3,Resolved,2026-03-24 22:45:16+00:00,2026-03-24 23:17:56.340023061+00:00,2026-03-25 06:37:21.080429115+00:00,Certificate Expiry,Config Change,False,None,P3 Application/Checkout: payment handoff error; suspected Certificate Expiry.
TCK-0000056,13,9,P3,Resolved,2026-05-21 10:06:12+00:00,2026-05-21 12:02:51.821979083+00:00,2026-05-21 22:24:19.659515074+00:00,Data Sync,Code Fix,False,None,P3 Integrations/CRM Sync: duplicate account mapping; suspected Data Sync.
TCK-0000057,7,3,P2,Resolved,2026-07-25 10:40:09+00:00,2026-07-25 11:10:04.052161956+00:00,2026-07-25 17:43:10.828941786+00:00,Code Regression,Restart,True,Medium,P2 Application/API: token validation failures; suspected Code Regression.
TCK-0000058,14,31,P3,Resolved,2026-03-09 15:10:39+00:00,2026-03-09 15:13:15.075710094+00:00,2026-03-09 17:38:40.712904896+00:00,,Knowledge Base,True,Medium,P3 Observability/Alerts: missing notification; suspected unknown root cause pending RCA.
TCK-0000059,3,7,P3,Closed,2026-05-06 16:34:10+00:00,2026-05-06 17:31:53.237145511+00:00,2026-05-06 18:39:50.190846025+00:00,Monitoring Noise,Monitoring Update,False,Low,P3 Platform/Compute: node saturation alerts; suspected Monitoring Noise.
TCK-0000060,5,26,P4,Resolved,2026-07-22 01:47:16+00:00,2026-07-22 02:35:05.739996912+00:00,2026-07-22 06:44:55.277951498+00:00,Authentication,Knowledge Base,True,Low,P4 Application/Login: session timeout reports; suspected Authentication.
TCK-0000061,2,13,P3,Resolved,2026-03-11 09:40:57+00:00,2026-03-11 10:08:15.720239860+00:00,2026-03-11 15:59:47.473916703+00:00,Vendor Outage,Code Fix,False,None,P3 Network/DNS: incorrect record propagation; suspected Vendor Outage.
TCK-0000062,11,20,P3,Resolved,2026-04-01 00:11:55+00:00,2026-04-01 00:46:37.139586360+00:00,2026-04-01 07:42:16.302483542+00:00,,User Education,False,Low,P3 Billing/Payments: processor decline spike; suspected unknown root cause pending RCA.
TCK-0000063,10,31,P4,Resolved,2026-06-07 16:43:07+00:00,2026-06-07 21:21:22.276298868+00:00,2026-06-08 09:45:24.680146485+00:00,Configuration,Config Change,False,Low,P4 Billing/Invoice: invoice mismatch; suspected Configuration.
TCK-0000064,13,25,P2,Resolved,2026-04-06 15:30:33+00:00,2026-04-06 16:34:23.445247462+00:00,2026-04-08 00:55:14.143419307+00:00,Data Sync,Knowledge Base,False,Low,P2 Integrations/CRM Sync: duplicate account mapping; suspected Data Sync.
TCK-0000065,4,7,P3,Resolved,2026-06-29 16:56:33+00:00,2026-06-29 18:09:28.883144316+00:00,2026-06-30 07:19:20.016762481+00:00,Customer Error,User Education,False,None,P3 Platform/Database: connection pool exhaustion; suspected Customer Error.
TCK-0000066,4,27,P3,Resolved,2026-04-23 20:46:59+00:00,2026-04-23 22:06:38.949732176+00:00,2026-04-24 19:03:55.470727464+00:00,Capacity,Code Fix,False,None,P3 Platform/Database: replication lag; suspected Capacity.
TCK-0000067,9,25,P4,Closed,2026-03-27 16:36:26+00:00,2026-03-27 17:29:54.467461589+00:00,2026-03-28 01:23:17.379953960+00:00,Permissions,Config Change,False,None,P4 Security/Access Review: role mapping mismatch; suspected Permissions.
TCK-0000068,5,35,P2,Resolved,2026-04-05 18:16:38+00:00,2026-04-05 18:51:20.971490205+00:00,2026-04-05 21:39:30.954276815+00:00,Code Regression,Monitoring Update,True,High,P2 Application/Login: failed sign-in attempts; suspected Code Regression.
TCK-0000069,8,5,P2,Closed,2026-04-14 05:00:43+00:00,2026-04-14 05:45:18.895788810+00:00,2026-04-14 09:59:03.474115989+00:00,Authentication,Vendor Fix,False,Medium,P2 Security/SSO: SAML assertion rejected; suspected Authentication.
TCK-0000070,13,9,P2,Resolved,2026-05-13 10:45:44+00:00,2026-05-13 11:30:49.803777367+00:00,2026-05-13 22:52:18.476265618+00:00,Vendor Outage,Config Change,False,Medium,P2 Integrations/CRM Sync: duplicate account mapping; suspected Vendor Outage.
TCK-0000071,1,25,P2,Resolved,2026-06-24 11:50:23+00:00,2026-06-24 12:23:29.536959850+00:00,2026-06-24 17:50:32.495030510+00:00,Capacity,Config Change,False,High,P2 Network/VPN: MFA loop during remote login; suspected Capacity.
TCK-0000072,2,15,P1,Resolved,2026-04-05 10:44:44+00:00,2026-04-05 10:51:11.737104786+00:00,2026-04-05 15:33:13.898688003+00:00,Vendor Outage,Monitoring Update,False,High,P1 Network/DNS: incorrect record propagation; suspected Vendor Outage.
TCK-0000073,6,21,P3,Closed,2026-06-15 11:28:02+00:00,2026-06-15 11:37:01.541017713+00:00,2026-06-15 17:16:13.557585084+00:00,Data Sync,Vendor Fix,True,Low,P3 Application/Checkout: payment handoff error; suspected Data Sync.
TCK-0000074,1,19,P3,Closed,2026-05-29 18:46:18+00:00,2026-05-29 19:36:39.365550510+00:00,2026-05-29 23:03:42.684785200+00:00,Configuration,Restart,False,Medium,P3 Network/VPN: users unable to establish tunnel; suspected Configuration.
TCK-0000075,14,28,P3,Resolved,2026-03-11 14:49:46+00:00,2026-03-11 15:26:28.916010862+00:00,2026-03-11 23:18:36.049680538+00:00,Capacity,Code Fix,False,Low,P3 Observability/Alerts: missing notification; suspected Capacity.
TCK-0000076,12,19,P3,Resolved,2026-05-22 19:01:39+00:00,2026-05-22 19:08:56.074064695+00:00,2026-05-23 00:02:17.512046142+00:00,Code Regression,Monitoring Update,False,Low,P3 Integrations/Webhook: signature validation failure; suspected Code Regression.
TCK-0000077,1,21,P3,Closed,2026-02-03 13:57:32+00:00,2026-02-03 17:17:45.655573346+00:00,2026-02-03 17:24:27.728290473+00:00,Configuration,Monitoring Update,False,Medium,P3 Network/VPN: MFA loop during remote login; suspected Configuration.
TCK-0000078,6,34,P3,Resolved,2026-07-05 18:02:19+00:00,2026-07-05 18:56:22.973919723+00:00,2026-07-05 19:47:53.323521172+00:00,Code Regression,Vendor Fix,False,Medium,P3 Application/Checkout: cart submission timeout; suspected Code Regression.
TCK-0000079,5,27,P2,Resolved,2026-04-17 09:14:12+00:00,2026-04-17 09:39:45.527911230+00:00,2026-04-17 13:45:04.077588808+00:00,Authentication,Knowledge Base,True,Low,P2 Application/Login: failed sign-in attempts; suspected Authentication.
TCK-0000080,14,5,P2,Closed,2026-04-09 17:14:20+00:00,2026-04-09 17:41:14.029637779+00:00,2026-04-09 23:58:36.753603916+00:00,Configuration,Knowledge Base,False,Medium,P2 Observability/Alerts: noisy monitor; suspected Configuration.
TCK-0000081,8,31,P2,Resolved,2026-02-27 16:07:08+00:00,2026-02-27 17:11:02.424177271+00:00,2026-02-27 19:36:26.697054644+00:00,Authentication,User Education,False,High,P2 Security/SSO: SAML assertion rejected; suspected Authentication.
TCK-0000082,1,24,P2,Resolved,2026-04-26 12:33:38+00:00,2026-04-26 12:46:47.266088123+00:00,2026-04-27 05:48:24.324628071+00:00,Code Regression,Restart,False,Medium,P2 Network/VPN: slow split-tunnel routing; suspected Code Regression.
TCK-0000083,8,10,P2,Resolved,2026-02-25 16:14:18+00:00,2026-02-25 17:15:25.113546025+00:00,2026-02-25 19:11:06.899937040+00:00,Certificate Expiry,Config Change,False,Medium,P2 Security/SSO: certificate trust warning; suspected Certificate Expiry.
TCK-0000084,14,21,P3,Resolved,2026-02-07 10:11:25+00:00,2026-02-07 10:58:52.548031696+00:00,2026-02-07 15:42:51.553289473+00:00,Configuration,Restart,False,Low,P3 Observability/Alerts: missing notification; suspected Configuration.
TCK-0000085,2,16,P3,Resolved,2026-03-10 08:18:52+00:00,2026-03-10 10:43:28.371813387+00:00,2026-03-10 11:37:52.565600173+00:00,Vendor Outage,Config Change,True,Low,P3 Network/DNS: service discovery timeout; suspected Vendor Outage.
TCK-0000086,1,10,P3,Closed,2026-06-29 18:44:49+00:00,2026-06-29 20:06:41.362233462+00:00,2026-06-29 22:40:53.275799684+00:00,Configuration,Config Change,False,High,P3 Network/VPN: MFA loop during remote login; suspected Configuration.
TCK-0000087,11,16,P3,Resolved,2026-03-03 16:50:03+00:00,2026-03-03 17:21:25.374943014+00:00,2026-03-03 19:30:12.109435178+00:00,Code Regression,Code Fix,False,Low,P3 Billing/Payments: refund status mismatch; suspected Code Regression.
TCK-0000088,1,19,P4,Resolved,2026-04-28 20:58:32+00:00,2026-04-29 00:18:38.760613826+00:00,2026-04-29 01:39:48.308096265+00:00,Capacity,Restart,False,None,P4 Network/VPN: MFA loop during remote login; suspected Capacity.
TCK-0000089,4,21,P4,Resolved,2026-07-26 12:28:43+00:00,2026-07-26 14:56:05.567835406+00:00,2026-07-27 14:50:56.869591854+00:00,Code Regression,Config Change,False,Low,P4 Platform/Database: slow queries; suspected Code Regression.
TCK-0000090,6,27,P3,Resolved,2026-07-14 10:34:37+00:00,2026-07-14 11:17:46.567759142+00:00,2026-07-14 15:21:22.258322624+00:00,Data Sync,Knowledge Base,False,High,P3 Application/Checkout: payment handoff error; suspected Data Sync.
TCK-0000091,8,5,P2,Resolved,2026-02-24 00:41:20+00:00,2026-02-24 00:56:44.905535933+00:00,2026-02-24 07:47:34.690522728+00:00,Authentication,Monitoring Update,False,Medium,P2 Security/SSO: certificate trust warning; suspected Authentication.
TCK-0000092,8,33,P2,Closed,2026-06-30 07:54:55+00:00,2026-06-30 10:00:05.501591269+00:00,2026-06-30 11:16:17.704761432+00:00,Permissions,Code Fix,True,Medium,P2 Security/SSO: identity provider timeout; suspected Permissions.
TCK-0000093,5,28,P3,Closed,2026-02-20 15:16:36+00:00,2026-02-20 18:34:10.070271530+00:00,2026-02-20 18:15:03.921470591+00:00,Permissions,Code Fix,False,Medium,P3 Application/Login: password reset failures; suspected Permissions.
TCK-0000094,14,22,P3,Resolved,2026-03-19 17:45:48+00:00,2026-03-19 17:51:51.960803030+00:00,2026-03-19 23:05:45.117176711+00:00,Configuration,Monitoring Update,False,Low,P3 Observability/Alerts: missing notification; suspected Configuration.
TCK-0000095,4,19,P3,Resolved,2026-06-13 19:16:20+00:00,2026-06-13 19:56:42.939771712+00:00,2026-06-14 12:30:00.652063031+00:00,Code Regression,Vendor Fix,False,Low,P3 Platform/Database: replication lag; suspected Code Regression.
TCK-0000096,10,35,P2,Resolved,2026-03-05 23:17:23+00:00,2026-03-05 23:29:08.297363630+00:00,2026-03-06 06:26:22.497482830+00:00,Data Sync,Restart,True,Medium,P2 Billing/Invoice: missing billing contact; suspected Data Sync.
TCK-0000097,3,15,P3,Resolved,2026-05-29 07:29:56+00:00,2026-05-29 07:47:46.371485589+00:00,2026-05-29 12:24:30.276525060+00:00,Monitoring Noise,Config Change,False,Low,P3 Platform/Compute: pod scheduling delay; suspected Monitoring Noise.
TCK-0000098,9,25,P3,Resolved,2026-02-26 20:22:05+00:00,2026-02-26 21:50:12.770994312+00:00,2026-02-27 00:14:20.402917828+00:00,Customer Error,User Education,False,None,P3 Security/Access Review: approval workflow delay; suspected Customer Error.
TCK-0000099,12,32,P3,Resolved,2026-04-13 01:00:58+00:00,2026-04-13 01:09:51.308109711+00:00,2026-04-13 13:10:02.962757087+00:00,Configuration,Code Fix,True,Low,P3 Integrations/Webhook: signature validation failure; suspected Configuration.
TCK-0000100,6,25,P2,Resolved,2026-02-12 19:42:38+00:00,2026-02-12 20:02:11.605001505+00:00,2026-02-13 00:17:22.575423660+00:00,Code Regression,Config Change,True,Low,P2 Application/Checkout: cart submission timeout; suspected Code Regression.
TCK-0000101,10,25,P4,Resolved,2026-06-04 18:37:14+00:00,2026-06-04 18:56:36.472406087+00:00,2026-06-05 19:46:59.355816423+00:00,Configuration,Code Fix,False,Low,P4 Billing/Invoice: missing billing contact; suspected Configuration.
TCK-0000102,5,2,P4,Resolved,2026-03-06 05:04:37+00:00,2026-03-06 06:45:30.558322753+00:00,2026-03-06 07:26:18.853125745+00:00,Code Regression,User Education,False,Medium,P4 Application/Login: password reset failures; suspected Code Regression.
TCK-0000103,6,24,P3,Resolved,2026-07-07 12:28:59+00:00,2026-07-07 13:06:08.812053091+00:00,2026-07-07 16:39:44.915114834+00:00,Code Regression,Knowledge Base,True,Low,P3 Application/Checkout: order confirmation delay; suspected Code Regression.
TCK-0000104,14,6,P1,Resolved,2026-05-18 09:34:50+00:00,2026-05-18 09:52:23.346504311+00:00,2026-05-18 11:20:03.533837044+00:00,Configuration,Config Change,True,High,P1 Observability/Alerts: threshold drift; suspected Configuration.
TCK-0000105,11,9,P4,Resolved,2026-03-13 20:45:13+00:00,2026-03-13 22:09:34.989404567+00:00,2026-03-14 03:06:00.412515267+00:00,Vendor Outage,User Education,False,None,P4 Billing/Payments: processor decline spike; suspected Vendor Outage.
TCK-0000106,10,30,P2,Resolved,2026-06-14 10:16:05+00:00,2026-06-14 10:37:27.225529836+00:00,2026-06-14 15:12:15.435337106+00:00,,Code Fix,False,Medium,P2 Billing/Invoice: tax calculation question; suspected unknown root cause pending RCA.
TCK-0000107,1,8,P3,Resolved,2026-06-16 00:26:14+00:00,2026-06-16 01:24:41.996864897+00:00,2026-06-16 05:17:12.542378696+00:00,,Knowledge Base,True,High,P3 Network/VPN: MFA loop during remote login; suspected unknown root cause pending RCA.
TCK-0000108,6,20,P4,Closed,2026-05-31 05:01:12+00:00,2026-05-31 06:24:01.748271740+00:00,2026-05-31 09:38:21.284777865+00:00,Code Regression,Config Change,False,Medium,P4 Application/Checkout: order confirmation delay; suspected Code Regression.
TCK-0000109,2,10,P2,Resolved,2026-05-15 09:14:03+00:00,2026-05-15 09:35:03.854955251+00:00,2026-05-15 16:19:13.731938992+00:00,Vendor Outage,Config Change,False,Medium,P2 Network/DNS: intermittent name resolution; suspected Vendor Outage.
TCK-0000110,3,3,P2,Closed,2026-06-26 09:01:05+00:00,2026-06-26 09:35:19.783715819+00:00,2026-06-26 15:01:09.774330510+00:00,Configuration,Restart,False,Low,P2 Platform/Compute: instance health check failures; suspected Configuration.
